text,category,clean_text,target
"Vlada Republike Slovenije je danes na redni seji sprejela nov zakon o davčni reformi. Minister za finance je pojasnil, da bo reforma prinesla spremembe v dohodninski lestvici. Poslanci opozicije so napovedali kritično razpravo v parlamentu. Koalicija je zagotovila, da bodo spremembe pravične za vse državljane.",Politika,"vlada republike slovenije je danes na redni seji sprejela nov zakon o davčni reformi. minister za finance je pojasnil, da bo reforma prinesla spremembe v dohodninski lestvici. poslanci opozicije so napovedali kritično razpravo v parlamentu. koalicija je zagotovila, da bodo spremembe pravične za vse državljane.",1
Predsednik vlade se je danes sestal z evropskimi komisarji v Bruslju. Pogovarjali so se o zeleni tranziciji in digitalnih reformah. Slovenija bo prevzela pomembno vlogo pri koordinaciji projektov. Ministri so predstavili ambiciozne načrte za prihodnost.,Politika,predsednik vlade se je danes sestal z evropskimi komisarji v bruslju. pogovarjali so se o zeleni tranziciji in digitalnih reformah. slovenija bo prevzela pomembno vlogo pri koordinaciji projektov. ministri so predstavili ambiciozne načrte za prihodnost.,1
"Državni zbor je včeraj potrdil proračun za prihodnje leto. Koalicijske stranke so podprle predlog, medtem ko je opozicija glasovala proti. Največji delež sredstev bo namenjen zdravstvu in šolstvu. Proračun predvideva tudi pomembne investicije v infrastrukturo.",Politika,"državni zbor je včeraj potrdil proračun za prihodnje leto. koalicijske stranke so podprle predlog, medtem ko je opozicija glasovala proti. največji delež sredstev bo namenjen zdravstvu in šolstvu. proračun predvideva tudi pomembne investicije v infrastrukturo.",1
Minister za zunanje zadeve je obiskal sosednje države. Pogovori so se osredotočili na regionalno sodelovanje in skupne infrastrukturne projekte. Podpisanih je bilo več memorandumov o sodelovanju. Odnosi med državami se nadaljujejo v pozitivni smeri.,Politika,minister za zunanje zadeve je obiskal sosednje države. pogovori so se osredotočili na regionalno sodelovanje in skupne infrastrukturne projekte. podpisanih je bilo več memorandumov o sodelovanju. odnosi med državami se nadaljujejo v pozitivni smeri.,1
Lokalne volitve bodo potekale prihodnji mesec. Kandidati so predstavili svoje programe za razvoj mest in občin. Volivci bodo odločali o županih in svetnikih. Pričakuje se visoka volilna udeležba v večjih mestih.,Politika,lokalne volitve bodo potekale prihodnji mesec. kandidati so predstavili svoje programe za razvoj mest in občin. volivci bodo odločali o županih in svetnikih. pričakuje se visoka volilna udeležba v večjih mestih.,1
Parlament je danes razpravljal o novi zakonodaji za varstvo okolja. Poslanci so poudarili pomen trajnostnega razvoja. Sprejetje zakona je načrtovano za konec meseca. Nevladne organizacije so pozdravile predlog.,Politika,parlament je danes razpravljal o novi zakonodaji za varstvo okolja. poslanci so poudarili pomen trajnostnega razvoja. sprejetje zakona je načrtovano za konec meseca. nevladne organizacije so pozdravile predlog.,1
Ministrstvo za delo pripravlja reforme na področju pokojninskega sistema. Socialnim partnerjem so predstavili osnutek sprememb. Sindikati so napovedali dodatne pogovore. Vlada želi sistem narediti bolj vzdržen za prihodnje generacije.,Politika,ministrstvo za delo pripravlja reforme na področju pokojninskega sistema. socialnim partnerjem so predstavili osnutek sprememb. sindikati so napovedali dodatne pogovore. vlada želi sistem narediti bolj vzdržen za prihodnje generacije.,1
Predsednik države je sprejel veleposlanike evropskih držav. Pogovarjali so se o mednarodnih odnosih in sodelovanju. Slovenija bo okrepila diplomatske stike z vsemi partnerji. Srečanje je potekalo v prijateljskem vzdušju.,Politika,predsednik države je sprejel veleposlanike evropskih držav. pogovarjali so se o mednarodnih odnosih in sodelovanju. slovenija bo okrepila diplomatske stike z vsemi partnerji. srečanje je potekalo v prijateljskem vzdušju.,1
Opozicijske stranke so včeraj predstavile alternativni predlog proračuna. Kritizirali so vladne prioritete in predlagali drugačno razporeditev sredstev. Koalicija je predlog zavrnila kot nerealen. Razprava v državnem zboru se nadaljuje.,Politika,opozicijske stranke so včeraj predstavile alternativni predlog proračuna. kritizirali so vladne prioritete in predlagali drugačno razporeditev sredstev. koalicija je predlog zavrnila kot nerealen. razprava v državnem zboru se nadaljuje.,1
Vlada je sprejela strategijo digitalizacije javne uprave. Projekt predvideva posodobitev vseh državnih storitev. Državljani bodo upravne zadeve lahko urejali spletno. Investicija v projekt znaša 100 milijonov evrov v petih letih.,Politika,vlada je sprejela strategijo digitalizacije javne uprave. projekt predvideva posodobitev vseh državnih storitev. državljani bodo upravne zadeve lahko urejali spletno. investicija v projekt znaša 100 milijonov evrov v petih letih.,1
Slovenska košarkarska reprezentanca je včeraj zmagala proti Litvi s 85:78. Luka Dončić je dosegel 32 točk in 12 skokov. Tekma je potekala v Stožicah pred razprodano dvorano. Navijači so ustvarili neverjetno vzdušje in podprli svojo ekipo do zmage.,Šport,slovenska košarkarska reprezentanca je včeraj zmagala proti litvi s 85:78. luka dončić je dosegel 32 točk in 12 skokov. tekma je potekala v stožicah pred razprodano dvorano. navijači so ustvarili neverjetno vzdušje in podprli svojo ekipo do zmage.,4
